ID,model,brand,price,socket,type,wattage,status,clockSpeed,coreCount
1,Ryzen 9 7950X,amd,32685,AM5,cpu,289,TRUE,4.5,16
2,Ryzen 9 7900X,amd,24450,AM5,cpu,289,TRUE,4.7,12
3,Ryzen 9 5950X,amd,23950,AM4,cpu,168,TRUE,3.4,16
4,Ryzen 9 5900X,amd,18750,AM4,cpu,168,TRUE,3.7,12
5,Ryzen 7 7700X,amd,19895,AM5,cpu,179,TRUE,4.5,8
6,Ryzen 7 5800X,amd,14890,AM4,cpu,168,TRUE,3.8,8
7,Ryzen 7 5600X,amd,8650,AM4,cpu,104,TRUE,3.7,6
8,Ryzen 7 5700G,amd,10650,AM4,apu,104,TRUE,3.8,8
9,Ryzen 5 7600X,amd,13195,AM5,cpu,179,TRUE,4.7,6
10,Ryzen 5 5600,amd,6995,AM4,cpu,104,TRUE,3.5,6
11,Ryzen 5 5600G,amd,7600,AM4,apu,104,TRUE,3.9,6
12,Ryzen 5 5500,amd,5450,AM4,cpu,104,TRUE,3.6,6
13,Ryzen 3 5300G,amd,9050,AM4,apu,104,TRUE,4,4
14,Ryzen 9 3950X,amd,19570,AM4,cpu,137,TRUE,3.5,16
15,Ryzen 9 3900X,amd,15000,AM4,cpu,137,TRUE,3.8,12
16,Ryzen 9 3900,amd,12999,AM4,cpu,137,TRUE,3.8,12
17,Ryzen 7 3800X,amd,20950,AM4,cpu,137,TRUE,3.9,8
18,Ryzen 7 3700X,amd,18850,AM4,cpu,137,TRUE,3.6,8
19,Ryzen 3 3200G,amd,5050,AM4,apu,65,TRUE,3.6,4
20,i9-14900K,Intel,40000,LGA1700,cpu,365,TRUE,3.2,24
21,i9-14900,Intel,38000,LGA1700,cpu,436,TRUE,3,24
22,i7-14700K,Intel,28000,LGA1700,cpu,320,TRUE,3.4,20
23,i7-14700,Intel,26000,LGA1700,cpu,328,TRUE,3.2,20
24,i5-14600K,Intel,20000,LGA1700,cpu,205,TRUE,3.5,14
25,i5-14600,Intel,18500,LGA1700,cpu,170,TRUE,3.3,14
26,i5-14500,Intel,16500,LGA1700,cpu,152,TRUE,3.2,12
27,i5-14400,Intel,15000,LGA1700,cpu,91,TRUE,2.7,10
28,i3-14100,Intel,8000,LGA1700,cpu,78,TRUE,3.5,4
29,i9-13900K,Intel,38000,LGA1700,cpu,316,TRUE,3,24
30,i9-13900,Intel,36000,LGA1700,cpu,275,TRUE,2.9,24
31,i7-13700,Intel,26000,LGA1700,cpu,275,TRUE,2.5,16
32,i5-13600,Intel,18500,LGA1700,cpu,193,TRUE,2.7,14
33,i5-13500,Intel,17500,LGA1700,cpu,193,TRUE,2.5,14
34,i5-13400,Intel,15000,LGA1700,cpu,193,TRUE,2.5,10
35,i3-13100,Intel,7000,LGA1700,cpu,112,TRUE,3.4,4
36,i3-13100F,Intel,6500,LGA1700,cpu,112,TRUE,3.4,4
37,i9-12900K,Intel,33000,LGA1700,cpu,302,TRUE,3.2,16
38,i9-12900,Intel,31000,LGA1700,cpu,254,TRUE,2.4,16
39,i7-12700K,Intel,25000,LGA1700,cpu,239,TRUE,3.6,12
40,i7-12700,Intel,23000,LGA1700,cpu,226,TRUE,2.1,12
41,i5-12600K,Intel,18000,LGA1700,cpu,188,TRUE,3.7,10
42,i5-12600,Intel,17000,LGA1700,cpu,147,TRUE,3.3,6
43,i3-12300,Intel,7500,LGA1700,cpu,112,TRUE,3.3,4
44,i9-11900K,Intel,29850,LGA1200,cpu,944,TRUE,3.5,8
45,i9-11900,Intel,25000,LGA1200,cpu,794,TRUE,2.5,8
46,i7-11700K,Intel,20500,LGA1200,cpu,944,TRUE,3.6,8
47,i7-11700,Intel,18000,LGA1200,cpu,794,TRUE,2.5,8
48,i5-11600K,Intel,15800,LGA1200,cpu,944,TRUE,3.9,6
49,i5-11600,Intel,13000,LGA1200,cpu,794,TRUE,2.8,6
50,i5-11500,Intel,11500,LGA1200,cpu,794,TRUE,2.7,6
51,i5-11400,Intel,10000,LGA1200,cpu,794,TRUE,2.6,6
