model,brand,socket,type,price,wattage,status,clockSpeed,coreCount
Ryzen 9 7950X,amd,32685.0,AM5,cpu,289,true,4.5,16
Ryzen 9 7900X,amd,24450.0,AM5,cpu,289,true,4.7,12
Ryzen 9 5950X,amd,23950.0,AM4,cpu,168,true,3.4,16
Ryzen 9 5900X,amd,18750.0,AM4,cpu,168,true,3.7,12
Ryzen 7 7700X,amd,19895.0,AM5,cpu,179,true,4.5,8
Ryzen 7 5800X,amd,14890.0,AM4,cpu,168,true,3.8,8
Ryzen 7 5600X,amd,8650.0,AM4,cpu,104,true,3.7,6
Ryzen 7 5700G,amd,10650.0,AM4,apu,104,true,3.8,8
Ryzen 5 7600X,amd,13195.0,AM5,cpu,179,true,4.7,6
Ryzen 5 5600,amd,6995.0,AM4,cpu,104,true,3.5,6
Ryzen 5 5600G,amd,7600.0,AM4,apu,104,true,3.9,6
Ryzen 5 5500,amd,5450.0,AM4,cpu,104,true,3.6,6
Ryzen 3 5300G,amd,9050.0,AM4,apu,104,true,4.0,4
Ryzen 9 3950X,amd,19570.0,AM4,cpu,137,true,3.5,16
Ryzen 9 3900X,amd,15000.0,AM4,cpu,137,true,3.8,12
Ryzen 9 3900,amd,12999.0,AM4,cpu,137,true,3.8,12
Ryzen 7 3800X,amd,20950.0,AM4,cpu,137,true,3.9,8
Ryzen 7 3700X,amd,18850.0,AM4,cpu,137,true,3.6,8
Ryzen 3 3200G,amd,5050.0,AM4,apu,65,true,3.6,4
i9-14900K,Intel,40000.0,LGA1700,cpu,365,true,3.2,24
i9-14900,Intel,38000.0,LGA1700,cpu,436,true,3.0,24
i7-14700K,Intel,28000.0,LGA1700,cpu,320,true,3.4,20
i7-14700,Intel,26000.0,LGA1700,cpu,328,true,3.2,20
i5-14600K,Intel,20000.0,LGA1700,cpu,205,true,3.5,14
i5-14600,Intel,18500.0,LGA1700,cpu,170,true,3.3,14
i5-14500,Intel,16500.0,LGA1700,cpu,152,true,3.2,12
i5-14400,Intel,15000.0,LGA1700,cpu,91,true,2.7,10
i3-14100,Intel,8000.0,LGA1700,cpu,78,true,3.5,4
i9-13900K,Intel,38000.0,LGA1700,cpu,316,true,3.0,24
i9-13900,Intel,36000.0,LGA1700,cpu,275,true,2.9,24
i7-13700,Intel,26000.0,LGA1700,cpu,275,true,2.5,16
i5-13600,Intel,18500.0,LGA1700,cpu,193,true,2.7,14
i5-13500,Intel,17500.0,LGA1700,cpu,193,true,2.5,14
i5-13400,Intel,15000.0,LGA1700,cpu,193,true,2.5,10
i3-13100,Intel,7000.0,LGA1700,cpu,112,true,3.4,4
i3-13100F,Intel,6500.0,LGA1700,cpu,112,true,3.4,4
i9-12900K,Intel,33000.0,LGA1700,cpu,302,true,3.2,16
i9-12900,Intel,31000.0,LGA1700,cpu,254,true,2.4,16
i7-12700K,Intel,25000.0,LGA1700,cpu,239,true,3.6,12
i7-12700,Intel,23000.0,LGA1700,cpu,226,true,2.1,12
i5-12600K,Intel,18000.0,LGA1700,cpu,188,true,3.7,10
i5-12600,Intel,17000.0,LGA1700,cpu,147,true,3.3,6
i3-12300,Intel,7500.0,LGA1700,cpu,112,true,3.3,4
i9-11900K,Intel,29850.0,LGA1200,cpu,944,true,3.5,8
i9-11900,Intel,25000.0,LGA1200,cpu,794,true,2.5,8
i7-11700K,Intel,20500.0,LGA1200,cpu,944,true,3.6,8
i7-11700,Intel,18000.0,LGA1200,cpu,794,true,2.5,8
i5-11600K,Intel,15800.0,LGA1200,cpu,944,true,3.9,6
i5-11600,Intel,13000.0,LGA1200,cpu,794,true,2.8,6
i5-11500,Intel,11500.0,LGA1200,cpu,794,true,2.7,6
i5-11400,Intel,10000.0,LGA1200,cpu,794,true,2.6,6
