id,brand,storageSize,wattage,price,status
18,Seagate,10000,20,14765.0,true
21,Western Digital,10000,20,15195.0,true
2,Western Digital,8000,20,12994.0,true
4,Seagate Skyhawk,6000,20,8995.0,true
7,Western Digital,4000,20,4894.0,true
8,Seagate Barracuda,4000,20,6150.0,true
14,Western Digital,4000,20,5245.0,true
17,Seagate,4000,20,5645.0,true
13,Western Digital,3000,20,4795.0,true
10,Western Digital,2000,20,7171.0,true
12,Western Digital,2000,20,3488.0,true
16,Adata AHD330-2TU31,2000,20,3530.0,true
20,Seagate One Touch,2000,20,4550.0,true
22,Toshiba Canvio Basics,2000,20,3711.0,true
1,Seagate Barracuda,1000,20,2014.0,true
3,Western Digital,1000,20,5020.0,true
5,Seagate Skyhawk,1000,20,3083.0,true
6,Seagate ST1000DM014,1000,20,2813.0,true
15,Seagate Skyhawk ST1000VX005,1000,20,2816.0,true
19,Seagate One Touch,1000,20,3220.0,true
11,Toshiba,500,20,1945.0,true
9,Seagate Harddisk,320,20,795.0,true
