id,brand,model,rate,price,wattage,status
55,Seasonic,Prime 1300W Fully Modular Gold,13250.0,gold,1300,true
64,Seasonic,Prime 1300 watts Fully Modular Platinum,14480.0,platinum,1300,true
67,Seasonic,Prime Ultra SSR-1300PD 1300 Watts Fully Modular Platinum,14739.0,platinum,1300,true
22,Asus,ROG Thor Power Supply 1200w RGB,22458.0,platinum,1200,true
26,Acer,AC-1000 1000w Full Modular 80plus Bronze,5650.0,bronze,1000,true
66,Seasonic,Prime SSR-1000TR 1000 Watts Fully Modular Titanium,15321.0,titanium,1000,true
95,Antec,Signature Platinum SP1000 1000w Fully Modular,11322.0,platinum,1000,true
31,Seasonic,Focus GX850 850 watts Fully Modular 80 Plus Gold,7980.0,gold,850,true
33,Coolermaster,MWE850 V2 MPE-8501-AFAAG-TW 850watts Fully Modular 80+ Gold,6306.0,gold,850,true
53,Seasonic,Focus Plus 850W Fully Modular Platinum,9006.0,platinum,850,true
72,MSI,MPG A850GF 850Watts 80+ Full Modular Gold,7180.0,gold,850,true
78,Seasonic,Prime Ultra SSR-850GD 850watts Fully Modular Gold,8110.0,gold,850,true
86,Deepcool,V2L - 80+ Gold Full-modular,5995.0,gold,850,true
91,Montech,Century 850watts 80+ Gold Fully Modular,6450.0,gold,850,true
94,Antec,NeoEco 850w Gold Fully Modular,5595.0,gold,850,true
11,Ramsta,RB750 750W 80+ Bronze Fully Modular,1983.0,bronze,750,true
12,SuperFlower,Legion GX Pro 750W Semi-Modular 80 Plus Gold,5381.0,gold,750,true
19,Acer,AC-750 750w Full Modular 80plus Bronze,2303.0,bronze,750,true
32,Coolermaster,MWE750 V2 MPE-7501-AFAAG-TW 750watts Fully Modular 80+ Gold,5665.0,gold,750,true
34,MSI,MAG A750GL 750Watts PCIE5 80+ Full Modular Gold,5415.0,gold,750,true
41,Xtyle,Mini 750 watts,370.0,none,750,true
51,Coolermaster,MWE 750W V2 80+ Bronze,5156.0,bronze,750,true
52,Seasonic,Focus Plus 750W Fully Modular Platinum,7752.0,platinum,750,true
63,FSP,HYDRO G Pro 750W 80+ Gold Fully Modular,6384.0,gold,750,true
70,MSI,MPG A650GF 650Watts and A750GF 750Watts 80+ Full Modular Gold,5585.0,gold,750,true
71,MSI,MPG A750GF 750Watts 80+ Full Modular Gold,6783.0,gold,750,true
75,Cooler Master,MWE 750Watts 80+ Power Supply White,3295.0,none,750,true
82,XPG,PYLON - 750 Watts 80+ Bronze,4995.0,bronze,750,true
87,Silverstone,Strider Gold S 750W 80+ Gold Fully Modular,5310.0,gold,750,true
88,Corsair,CV750 750 watts 80 Plus Bronze,3750.0,bronze,750,true
92,Montech,Gamma II 750watts 80+ Gold Fully Modular,5000.0,gold,750,true
93,Antec,Cuprum Strike CSK750H 750w Bronze Semi-Modular,3550.0,none,750,true
98,SuperFlower,Legion HX 750W Non-Modular 80 PLUS Gold,4155.0,gold,750,true
100,Deepcool,PQ750M 80 Plus Fully Modular Gold,5710.0,gold,750,true
102,Antec,CSK750H 750 watts 80+ Semi Modular Bronze,3545.0,bronze,750,true
5,Intelligent,700 watts Dual 12V Power Supply,389.0,none,700,true
14,Raidmax,RX-700AC-V 700 Watts Vortex 80+ Bronze,2275.0,bronze,700,true
16,Intelligent,Awake AK700W 700W 80+ RGB Power Supply,1824.0,bronze,700,true
27,Keytech,Thunderbolt 700watts and 750watts,445.0,none,700,true
58,Trigon,700w Power Supply,100.0,none,700,true
60,EVGA,600 BR 80 plus Bronze certified,3695.0,bronze,700,true
76,Silverstone,Strider 700W Fully Modular Flat Cables 80 Plus Gold SFX,8200.0,gold,700,true
79,Silverstone,SST-ST70F-ES230 700 Watts 80 Plus,2497.0,none,700,true
4,CoolerMaster,MWE,3420.0,bronze,650,true
17,Coolermaster,MWE650 V2 MPE-6501-AFAAG-TW 650watts Fully Modular 80+ Gold,5291.0,gold,650,true
18,Acer,AC-650 650w Full Modular 80plus Bronze,1927.0,bronze,650,true
20,Seasonic,Focus Plus 650W Fully Modular Platinum,7182.0,platinum,650,true
24,Ramsta,RB650 650W 80+ Bronze Fully Modular,1596.0,bronze,650,true
28,Corsair,CX650 650 watts 80 Plus Bronze,3132.0,bronze,650,true
39,Corsair,Vs650 650 watts,3050.0,none,650,true
45,Corsair,CX650M 650watts Semi Modular 80 Plus Bronze,4490.0,bronze,650,true
46,Thermaltake,Litepower 2 APFC 650w,2245.0,none,650,true
