ID,brand,model,formFactor,socket,ddr,price,wattage,status
1,MSI ,A520m Pro,mATX,AM4,ddr4,3250,65,TRUE
2,MSI ,B450M Pro,mATX,AM4,ddr4,4195,75,TRUE
3,MSI ,Mag B550m Pro,mATX,AM4,ddr4,6275,80,TRUE
4,Gigabyte,GA-B450M,mATX,AM4,ddr4,4250,60,TRUE
5,Biostar,A520MH,mATX,AM4,ddr4,2870,55,TRUE
6,Asus,Rog Strix B550-A,ATX,AM4,ddr4,11045,75,TRUE
7,Asrock,X570S,mATX,AM4,ddr4,10120,85,TRUE
8,Gigabyte,B550M,mATX,AM4,ddr4,7339,70,TRUE
9,Asus,Prime B550M,mATX,AM4,ddr4,6825,75,TRUE
10,Asrock,B550M,mATX,AM4,ddr4,7250,70,TRUE
11,MSI ,MAG B550M,mATX,AM4,ddr4,9835,70,TRUE
12,Gigabyte,GA-B450M,mATX,AM4,ddr4,5095,60,TRUE
13,Gigabyte,B550M,mATX,AM4,ddr4,5345,70,TRUE
14,Asus,ROG Strix B550-F,mATX,AM4,ddr4,12585,75,TRUE
15,Gigabyte,GA-A620M,mATX,AM5,ddr4,6170,55,TRUE
16,Gigabyte,A520M,mATX,AM4,ddr4,3950,65,TRUE
17,Asus,Prime B760M-A,mATX,AM4,ddr4,8745,80,TRUE
18,Gigabyte,GA A320M S2H,mATX,AM4,ddr4,2850,50,TRUE
19,Gigabyte,GA-B450 Pro,mATX,AM4,ddr4,6595,70,TRUE
20,Gigabyte,GA-B450-M,mATX,AM4,ddr4,5199,70,TRUE
21,ASUS,EX-A320M,mATX,AM4,ddr4,3464,50,TRUE
22,Gigabyte,X570,mATX,AM4,ddr4,8795,80,TRUE
23,MSI ,X570-A,mATX,AM4,ddr4,9490,80,TRUE
24,Gigabyte,GA A320M-H,mATX,AM4,ddr4,2895,50,TRUE
25,MSI ,B450,mATX,AM4,ddr4,5125,70,TRUE
26,MSI ,B450m,mATX,AM4,ddr4,5325,70,TRUE
27,Gigabyte,GA A320M,mATX,AM4,ddr4,2835,50,TRUE
28,MSI ,A320M,mATX,AM4,ddr4,2875,50,TRUE
29,MSI ,X570,mATX,AM4,ddr4,10450,80,TRUE
30,Asus,TUF X570 Plus,mATX,AM4,ddr4,9950,85,TRUE
31,Gigabyte,AB350M-HD3,mATX,AM4,ddr4,4995,60,TRUE
32,ASUS,TUF B450M-PLUS,mATX,AM4,ddr4,5199,75,TRUE
33,ASUS,TUF 540M,mATX,AM4,ddr4,5399,90,TRUE
34,ASUS,ROG Strix X670E-E,ATX,AM5,ddr4,27500,85,TRUE
35,MSI,MPG B650 Carbon WiFi,ATX,AM5,ddr4,18000,80,TRUE
36,Gigabyte,X670 Aorus Elite AX,ATX,AM5,ddr4,15800,85,TRUE
37,ASRock,B650E Taichi,ATX,AM5,ddr4,22000,80,TRUE
38,ASUS,TUF Gaming B650-PLUS,ATX,AM5,ddr4,14500,80,TRUE
39,ASUS,Prime X670-P,ATX,AM5,ddr4,16000,85,TRUE
40,MSI,PRO X670-P WiFi,ATX,AM5,ddr4,19500,85,TRUE
41,Gigabyte,B650 Aorus Master,ATX,AM5,ddr4,21000,90,TRUE
42,ASRock,X670E Steel Legend,ATX,AM5,ddr4,23500,95,TRUE
43,ASUS,ROG Crosshair X670E Hero,ATX,AM5,ddr4,32000,85,TRUE
44,MSI,MAG B650 Tomahawk WiFi,ATX,AM5,ddr4,17500,90,TRUE
45,Gigabyte,X670E Aorus Master,ATX,AM5,ddr4,29000,80,TRUE
46,ASRock,B650 Pro RS,ATX,AM5,ddr4,13000,85,TRUE
47,ASUS,ProArt X670E-Creator WiFi,ATX,AM5,ddr4,31500,80,TRUE
48,MSI,MPG X670E Gaming Edge WiFi,ATX,AM5,ddr4,25000,80,TRUE
49,Gigabyte,B650M Aorus Pro AX,mATX,AM5,ddr4,14200,85,TRUE
50,ASRock,B650E PG Riptide WiFi,ATX,AM5,ddr4,18300,80,TRUE
51,ASUS,TUF Gaming X670E-PLUS,ATX,AM5,ddr4,24000,60,TRUE
52,Gigabyte,A520m Pro,mATX,LGA 1700,ddr4,6695,55,TRUE
53,Msi,PRO H610M-G,mATX,LGA 1700,ddr4,5790,75,TRUE
54,Gigabyte,H610M-H V3,mATX,LGA 1700,ddr4,4685,70,TRUE
55,Asus,TUF B760M-PLUS,mATX,LGA 1700,ddr4,11325,75,TRUE
56,Msi,B650M,mATX,LGA 1700,ddr4,13995,85,TRUE
57,Msi,MAG B760M,mATX,LGA 1700,ddr4,12415,80,TRUE
58,Asus,Prime Z790-P,mATX,LGA 1700,ddr4,16695,65,TRUE
59,Gigabyte,Z790,mATX,LGA 1700,ddr4,16900,60,TRUE
60,Asus,Prime H610-R,ATX,LGA 1700,ddr4,4895,70,TRUE
61,Msi,PRO H610M-E,mATX,LGA 1700,ddr4,4450,65,TRUE
62,Asus,Prime B760M,mATX,LGA 1700,ddr4,8745,80,TRUE
63,Gigabyte,H510M-K,mATX,LGA 1200,ddr4,3935,55,TRUE
64,Msi,Z490,mATX,LGA 1200,ddr4,10195,50,TRUE
65,Biostar,H410MH,mATX,LGA 1200,ddr4,2999,50,TRUE
66,Asus,Prime H410M-K,mATX,LGA 1200,ddr4,3899,70,TRUE
67,Gigabyte,H410M-H,mATX,LGA 1200,ddr4,3950,50,TRUE
68,Asus,Prime B460M-A R2.0,mATX,LGA 1200,ddr4,5150,85,TRUE
69,Gigabyte,H410M-S2H V3,mATX,LGA 1200,ddr4,3950,50,TRUE
70,Msi,Z590-A Pro,mATX,LGA 1200,ddr4,9995,75,TRUE
71,Gigabyte,H410M-H V3,mATX,LGA 1200,ddr4,3555,65,TRUE
72,Gigabyte,B560M-DS3H AC,mATX,LGA 1200,ddr4,6825,65,TRUE
73,Msi,H510M-A Pro Series,mATX,LGA 1200,ddr4,4550,65,TRUE
74,Asus,Ex H510M V3,mATX,LGA 1200,ddr4,4050,90,TRUE
75,Msi,H510M,mATX,LGA 1200,ddr4,3789,90,TRUE
76,Msi,Pro Z690-A,mATX,LGA 1700,ddr4,12420,90,TRUE
77,Msi,MPG Z690 Force,mATX,LGA 1700,ddr4,22000,75,TRUE
78,Gigabyte,Z690 Aero G Socket LGA 1700 Ddr5 Q-Flash,mATX,LGA 1700,ddr5,15500,75,TRUE
79,Gigabyte,B560M DS3H V2,mATX,LGA 1200,ddr4,6156,70,TRUE
80,MSI,B450I Gaming Plus AC,mITX,AM4,ddr4,6500,65,TRUE
81,ASRock,B450 Gaming-ITX/ac,mITX,AM4,ddr4,6800,60,TRUE
82,ASUS,ROG Strix B450-I Gaming,mITX,AM4,ddr4,7500,70,TRUE
83,Gigabyte,B450I Aorus Pro WiFi,mITX,AM4,ddr4,7200,60,TRUE
84,ASUS,ROG Strix X570-I Gaming,mITX,AM4,ddr4,12000,80,TRUE
85,MSI,MPG B550I Gaming Edge WiFi,mITX,AM4,ddr4,9500,70,TRUE
86,Gigabyte,B550I Aorus Pro AX,mITX,AM4,ddr4,9800,70,TRUE
87,ASUS,ROG Strix B550-I Gaming,mITX,AM4,ddr4,10500,75,TRUE
88,ASRock,X570 Phantom Gaming-ITX/TB3,mITX,AM4,ddr4,13500,85,TRUE
89,Gigabyte,X570I Aorus Pro WiFi,mITX,AM4,ddr4,13000,80,TRUE
90,ASUS,ROG Crosshair VIII Impact,mITX,AM4,ddr4,18500,85,TRUE
91,MSI,MPG B650I Edge WiFi,mITX,AM5,ddr4,13500,70,TRUE
92,ASUS,ROG Strix B650-I Gaming,mITX,AM5,ddr4,14000,75,TRUE
93,Gigabyte,B650I Aorus Ultra,mITX,AM5,ddr4,14500,70,TRUE
94,MSI,MPG X670I Edge WiFi,mITX,AM5,ddr4,18000,80,TRUE
95,ASUS,ROG Strix X670-I Gaming,mITX,AM5,ddr4,19000,85,TRUE
96,Gigabyte,X670I Aorus Ultra,mITX,AM5,ddr4,18500,80,TRUE
97,ASRock,Z690 Phantom Gaming-ITX/TB4,mITX,LGA 1700,ddr5,16500,75,TRUE
98,ASUS,ROG Strix Z690-I Gaming,mITX,LGA 1700,ddr5,17500,80,TRUE
99,Asus,ROG Strix Z790-E Gaming WiFi,ATX,LGA 1700,DDR5,"19,500",90,TRUE
100,MSI,MPG Z690 Carbon WiFi,ATX,LGA 1700,DDR5,"21,000",85,TRUE
101,Gigabyte,Z690 Aorus Master,ATX,LGA 1700,DDR5,"23,000",90,TRUE
102,ASRock,Z790 Taichi,ATX,LGA 1700,DDR5,"24,500",95,TRUE
103,Asus,TUF Gaming X670E-PLUS WiFi,ATX,AM5,DDR5,"18,000",80,TRUE
104,MSI,MEG Z690 Unify,ATX,LGA 1700,DDR5,"26,000",100,TRUE
105,Gigabyte,X670E Aorus Xtreme,ATX,AM5,DDR5,"30,000",100,TRUE
106,ASRock,B650E Steel Legend,ATX,AM5,DDR5,"16,500",85,TRUE
107,Asus,ProArt Z690-Creator WiFi,ATX,LGA 1700,DDR5,"27,000",90,TRUE
108,MSI,MPG X670E Carbon WiFi,ATX,AM5,DDR5,"20,000",90,TRUE
109,Gigabyte,Z790 Aorus Elite AX,ATX,LGA 1700,DDR5,"18,500",85,TRUE
